Column1._id.$oid,Column1.bonusPointsEarned,Column1.bonusPointsEarnedReason,Column1.createDate.$date,Column1.dateScanned.$date,Column1.finishedDate.$date,Column1.modifyDate.$date,Column1.pointsAwardedDate.$date,Column1.pointsEarned,Column1.purchaseDate.$date,Column1.purchasedItemCount,Column1.rewardsReceiptItemList.barcode,Column1.rewardsReceiptItemList.description,Column1.rewardsReceiptItemList.finalPrice,Column1.rewardsReceiptItemList.itemPrice,Column1.rewardsReceiptItemList.needsFetchReview,Column1.rewardsReceiptItemList.partnerItemId,Column1.rewardsReceiptItemList.preventTargetGapPoints,Column1.rewardsReceiptItemList.quantityPurchased,Column1.rewardsReceiptItemList.userFlaggedBarcode,Column1.rewardsReceiptItemList.userFlaggedNewItem,Column1.rewardsReceiptItemList.userFlaggedPrice,Column1.rewardsReceiptItemList.userFlaggedQuantity,Column1.rewardsReceiptStatus,Column1.totalSpent,Column1.userId
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,500,1.61E+12,5,4011,ITEM NOT FOUND,26,26,FALSE,1,TRUE,5,4011,TRUE,26,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,150,1.61E+12,2,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,FINISHED,11,5ff1e194b6a9d73a3a9f1052
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,150,1.61E+12,2,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,TRUE,2,TRUE,1,28400642255,TRUE,10,1,FINISHED,11,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,1.61E+12,1.61E+12,,1.61E+12,,5,1.61E+12,1,,,,,FALSE,1,TRUE,,4011,TRUE,26,3,REJECTED,10,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,5,1.61E+12,4,4011,ITEM NOT FOUND,28,28,FALSE,1,TRUE,4,4011,TRUE,28,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,5,1.61E+12,2,4011,ITEM NOT FOUND,1,1,,1,,1,,,,,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,5,1.61E+12,2,1234,,2.56,2.56,TRUE,2,TRUE,3,1234,TRUE,2.56,3,FINISHED,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,750,1.61E+12,1,4011,ITEM NOT FOUND,3.25,3.25,FALSE,1,TRUE,1,4011,,,,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,5,1.61E+12,1,,MSSN TORTLLA,2.23,2.23,,1009,,1,,,,,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61E+12,1.61E+12,1.61E+12,1.61E+12,1.61E+12,500,1.61E+12,1,46000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10,10,,0,,1,,,,,FINISHED,10,5ff1e194b6a9d73a3a9f1052
